word,file,mentions_in_file
male,Pejt Sm.txt,1
male,Satelit.txt,1
male,Zlato Rumeno.txt,1
mali,Anakonda.txt,12
mali,Kameleoni.txt,2
mali,Lilija.txt,1
mali,Novi primitivizem.txt,3
mali,Polna luna.txt,1
mali,Raveland legende.txt,3
mali,Rdeče rože.txt,4
mali,Vanilla.txt,1
man,Raveland legende.txt,3
mari,Bejrut.txt,1
marlboro,Jiu Jitsu.txt,2
martin,Mnogo premal.txt,1
mary,Skodelica čaja.txt,9
mati,Laki.txt,2
mau,Krst pri Duplici.txt,1
mau,Rdeče rože.txt,1
mau,Satelit.txt,1
meda,Zonzey.txt,1
mendi,Aurora.txt,1
mentor,Jiu Jitsu.txt,1
mercedes,MANA.txt,1
mesa,Krst pri Duplici.txt,1
metro,Ljubljana.txt,1
metu,Skodelica čaja.txt,1
miki,Pejt Sm.txt,1
mine,Back and forth matter.txt,3
mojo,Gepek tok velk.txt,1
mojo,MANA.txt,4
mojo,Safari.txt,1
mojo,Sinovi Moje Madre.txt,2
monaco,Skodelica čaja.txt,1
mora,Krst pri Duplici.txt,1
mora,Mrki Flow.txt,1
mora,Skodelica čaja.txt,1
moro,Kameleoni.txt,1
muhe,Tri tri.txt,1
mustang,Lover out the dark.txt,1
naga,Raveland legende.txt,1
nagasaki,Bomboni.txt,1
naju,MANA.txt,1
naka,Glitter.txt,3
naka,Zonzey.txt,1
napa,Ladje.txt,1
nema,Krst pri Duplici.txt,1
nima,Aurora.txt,1
nima,Bejrut.txt,1
nima,Favela.txt,1
nima,Lilija.txt,8
nima,Mrki Flow.txt,2
nima,Novi primitivizem.txt,24
nima,Satelit.txt,1
nima,Zonzey.txt,2
nis,27 kometov.txt,2
nis,Mrki Flow.txt,1
nis,Nana.txt,2
nogi,Favela.txt,1
novi,Alibi.txt,1
novi,Favela.txt,1
novi,Le le.txt,1
novi,Meduze.txt,3
novi,Mrki Flow.txt,2
novi,Sinovi Moje Madre.txt,1
novi,Tri tri.txt,1
oba,1000 Kristalov.txt,1
odesa,Favela.txt,1
oran,Anakonda.txt,1
orange,Anakonda.txt,1
osa,Zlato Rumeno.txt,1
pando,Lilija.txt,6
papa,Krst pri Duplici.txt,1
para,Polna luna.txt,2
pare,Aurora.txt,1
pare,Krst pri Duplici.txt,2
pare,MANA.txt,6
pare,Nevidna stran neba.txt,1
pare,Raveland legende.txt,7
pare,Rdeče rože.txt,1
pare,Sinovi Moje Madre.txt,1
pare,Skodelica čaja.txt,1
pare,V tvojem umu.txt,10
pare,Zonzey.txt,1
paris,Aurora.txt,1
paris,The Kid.txt,1
patos,Ljubljana.txt,1
pen,Bambi.txt,1
pila,Favela.txt,1
pila,Le le.txt,1
pila,Zlato v zobeh.txt,1
plano,Meduze.txt,1
pompei,Zonzey.txt,3
pop,Pimpin’ Piaf.txt,1
poso,Polna luna.txt,6
poso,Toro.txt,6
puma,Konte.txt,2
punch,Back and forth matter.txt,1
puno,Dizeldorf.txt,1
puno,Safari.txt,1
ratu,Raveland legende.txt,1
sama,Bele gazele.txt,1
sama,Tri Sonca.txt,10
san,Rdeče rože.txt,2
san,Skodelica čaja.txt,1
san francisco,Rdeče rože.txt,2
san francisco,Skodelica čaja.txt,1
say,Back and forth matter.txt,2
say,The Kid.txt,1
seka,Nana.txt,2
selm,Zonzey.txt,1
selu,Favela.txt,1
selu,Lilija.txt,1
selu,Polna luna.txt,1
selu,Tri tri.txt,1
senegal,Bejrut.txt,2
slatina,Glitter.txt,1
soko,Sedimenti.txt,1
sosa,Aurora.txt,1
taft,Pimpin’ Piaf.txt,1
tak,Mrki Flow.txt,5
tak,Zlato v zobeh.txt,3
tala,Jiu Jitsu.txt,1
tema,AB Raylight.txt,1
tema,Dizeldorf.txt,1
tema,Favela.txt,1
tema,MANA.txt,1
tema,Mnogo premal.txt,1
tema,Mrki Flow.txt,1
tema,Nebotičnik.txt,1
tema,Nevidna stran neba.txt,1
tema,Novi primitivizem.txt,1
tema,Raveland legende.txt,1
than,The Kid.txt,2
timbuktu,AB Raylight.txt,1
timbuktu,Zonzey.txt,2
toki,Rdeče rože.txt,1
tokyo,Rdeče rože.txt,1
tud,1000 Kristalov.txt,2
tud,Anakonda.txt,2
tud,Jedla zvezde.txt,2
tud,Le le.txt,1
tud,Lilija.txt,9
tud,Ljubljana.txt,5
tud,Mrki Flow.txt,12
tud,Polna luna.txt,1
tud,Skodelica čaja.txt,1
tud,Sophia.txt,1
tunja,Bambi.txt,1
tunja,Jiu Jitsu.txt,2
tunja,Mrki Flow.txt,3
tunja,Polna luna.txt,1
tunja,Satelit.txt,1
tunja,Velik Njega.txt,3
turbo,Nana.txt,1
turkey,The Kid.txt,1
umi,Bele gazele.txt,1
umi,K se vrnem.txt,1
umi,Sinovi Moje Madre.txt,3
umi,Skodelica čaja.txt,3
umi,Zlato Rumeno.txt,1
umi,Šuma.txt,2
vapi,Glitter.txt,1
vichy,Pimpin’ Piaf.txt,1
vietnam,Rdeče rože.txt,1
visoko,Vanilla.txt,3
waterloo,Aurora.txt,1
woodstock,Rdeče rože.txt,1
zama,Aurora.txt,2
zanzibar,AB Raylight.txt,1
zima,AB Raylight.txt,1
zima,Kameleoni.txt,3
zima,Le le.txt,1
zima,Safari.txt,1
zima,Šuma.txt,8
