artist,toponim,toponim_key,tip_lokacije,skladba,album,besedilo_url,yt_url,stevilo_pojavljanj,lat,lon,country_geo_name
tunja,Afrika,afrika,celina,Zdravljica,Kolajna,https://genius.com/Tunja-zdravljica-lyrics,https://www.youtube.com/watch?v=5nZejAARpkA,4,1.6508,17.6791,
tunja,Arizona,arizona,mesto/kraj,Digitalna smrt,Kolajna,https://genius.com/Tunja-digitalna-smrt-lyrics,https://www.youtube.com/watch?v=l-Se9IbRrAM,1,34.0489,-111.0937,
tunja,Bosna,bosna,država,Surovina,Kolajna,https://genius.com/Tunja-surovina-lyrics,https://www.youtube.com/watch?v=4dHyObPoVUI,1,43.9159,17.6791,Bosnia and Herzegovina
tunja,Boston,boston,mesto/kraj,Neki na O,Kolajna,https://genius.com/Tunja-neki-na-o-lyrics,https://www.youtube.com/watch?v=l1RqUolvuoM,1,42.35843,-71.05977,
tunja,Dubai,dubai,mesto/kraj,Opombe,Kolajna,https://genius.com/Tunja-opombe-lyrics,https://www.youtube.com/watch?v=O9Xq_oQfW3I,1,25.2048,55.2708,
tunja,Duplica,duplica,mesto/kraj,Prosto plava,Kolajna,https://genius.com/Tunja-prosto-plava-lyrics,https://www.youtube.com/watch?v=lSeAeurgnHw,1,46.2065,14.6008,
tunja,Evropa,evropa,celina,Neki na O,Kolajna,https://genius.com/Tunja-neki-na-o-lyrics,https://www.youtube.com/watch?v=l1RqUolvuoM,1,54.526,15.2551,
tunja,Honolulu,honolulu,mesto/kraj,Surovina,Kolajna,https://genius.com/Tunja-surovina-lyrics,https://www.youtube.com/watch?v=4dHyObPoVUI,1,21.3069,-157.8583,
tunja,Timbuktu,timbuktu,mesto/kraj,Surovina,Kolajna,https://genius.com/Tunja-surovina-lyrics,https://www.youtube.com/watch?v=4dHyObPoVUI,1,16.7666,-3.0026,
