artist,title,album,genius_url,yt_url,lyrics_file,mentions_total,has_synced_lrc
matter,1000 Kristalov,Amphibios,https://genius.com/Matter-1000-kristalov-lyrics,,output\matter\lyrics\1000 Kristalov.txt,2,False
matter,27 kometov,Troglav II,https://genius.com/Matter-27-kometov-lyrics,,output\matter\lyrics\27 kometov.txt,5,False
matter,AB Raylight,Unknown,https://genius.com/Matter-ab-raylight-lyrics,,output\matter\lyrics\AB Raylight.txt,1,False
matter,Alibi,Troglav III,https://genius.com/Matter-alibi-lyrics,,output\matter\lyrics\Alibi.txt,0,False
matter,Anakonda,Amphibios,https://genius.com/Matter-anakonda-lyrics,,output\matter\lyrics\Anakonda.txt,0,False
matter,Aurora,Troglav I,https://genius.com/Matter-aurora-lyrics,,output\matter\lyrics\Aurora.txt,2,False
matter,Back and forth matter,Unknown,https://genius.com/Matter-back-and-forth-matter-lyrics,,output\matter\lyrics\Back and forth matter.txt,0,False
matter,Bambi,Amphibios,https://genius.com/Matter-bambi-lyrics,,output\matter\lyrics\Bambi.txt,1,False
matter,Bejrut,Mrk,https://genius.com/Matter-bejrut-lyrics,,output\matter\lyrics\Bejrut.txt,11,False
matter,Bele gazele,Troglav II,https://genius.com/Matter-bele-gazele-lyrics,,output\matter\lyrics\Bele gazele.txt,2,False
matter,Bomboni,Amphibios,https://genius.com/Matter-bomboni-lyrics,,output\matter\lyrics\Bomboni.txt,1,False
matter,Dizeldorf,Amphibios,https://genius.com/Matter-dizeldorf-lyrics,,output\matter\lyrics\Dizeldorf.txt,2,False
matter,Favela,Haos,https://genius.com/Matter-favela-lyrics,,output\matter\lyrics\Favela.txt,4,False
matter,Gepek tok velk,Predjed,https://genius.com/Matter-gepek-tok-velk-lyrics,,output\matter\lyrics\Gepek tok velk.txt,1,False
matter,Glitter,Unknown,https://genius.com/Matter-glitter-lyrics,,output\matter\lyrics\Glitter.txt,0,False
matter,Jedla zvezde,Mrk,https://genius.com/Matter-jedla-zvezde-lyrics,,output\matter\lyrics\Jedla zvezde.txt,0,False
matter,Jiu Jitsu,Troglav II,https://genius.com/Matter-jiu-jitsu-lyrics,,output\matter\lyrics\Jiu Jitsu.txt,8,False
matter,Kameleoni,Unknown,https://genius.com/Matter-kameleoni-lyrics,,output\matter\lyrics\Kameleoni.txt,2,False
matter,Klik,Haos,https://genius.com/Matter-klik-lyrics,,output\matter\lyrics\Klik.txt,0,False
matter,Konte,Mrk,https://genius.com/Matter-konte-lyrics,,output\matter\lyrics\Konte.txt,1,False
matter,Krst pri Duplici,Haos,https://genius.com/Matter-krst-pri-duplici-lyrics,,output\matter\lyrics\Krst pri Duplici.txt,4,False
matter,K se vrnem,Haos,https://genius.com/Matter-k-se-vrnem-lyrics,,output\matter\lyrics\K se vrnem.txt,1,False
matter,Ladje,Amphibios,https://genius.com/Matter-ladje-lyrics,,output\matter\lyrics\Ladje.txt,0,False
matter,Laki,Troglav I,https://genius.com/Matter-laki-lyrics,,output\matter\lyrics\Laki.txt,2,False
matter,Le le,Unknown,https://genius.com/Matter-le-le-lyrics,,output\matter\lyrics\Le le.txt,0,False
matter,Lilija,Predjed,https://genius.com/Matter-lilija-lyrics,,output\matter\lyrics\Lilija.txt,0,False
matter,Ljubljana,Troglav II,https://genius.com/Matter-ljubljana-lyrics,,output\matter\lyrics\Ljubljana.txt,14,False
