artist,toponim,toponim_key,tip_lokacije,skladba,album,besedilo_url,yt_url,stevilo_pojavljanj,lat,lon,country_geo_name
matter,Amerika,amerika,država,Gepek tok velk,Predjed,https://genius.com/Matter-gepek-tok-velk-lyrics,https://www.youtube.com/watch?v=XUxE_7-9Uas,1,39.8283,-98.5795,United States of America
matter,Antwerpen,antwerpen,mesto/kraj,Bomboni,Amphibios,https://genius.com/Matter-bomboni-lyrics,https://www.youtube.com/watch?v=9HbZxTExhoY,1,51.2194,4.4025,
matter,Arizona,arizona,mesto/kraj,Polna Pluča,Predjed,https://genius.com/Matter-polna-pluca-lyrics,https://www.youtube.com/watch?v=hzmOo2cXzVo,3,34.0489,-111.0937,
matter,Babilon,babilon,mesto/kraj,Dizeldorf,Amphibios,https://genius.com/Matter-dizeldorf-lyrics,https://www.youtube.com/watch?v=lQU0rFL6YJo,1,32.5422,44.42,
matter,Babilon,babilon,mesto/kraj,V tvojem umu,Troglav III,https://genius.com/Matter-v-tvojem-umu-lyrics,https://www.youtube.com/watch?v=zgTHe16ntjI,8,32.5422,44.42,
matter,Bejrut,bejrut,mesto/kraj,1000 Kristalov,Amphibios,https://genius.com/Matter-1000-kristalov-lyrics,https://www.youtube.com/watch?v=boa859Fhbh0,2,33.8938,35.5018,
matter,Bejrut,bejrut,mesto/kraj,Bejrut,Mrk,https://genius.com/Matter-bejrut-lyrics,https://www.youtube.com/watch?v=0tQF_qvCxPg,4,33.8938,35.5018,
matter,Belém,belem,mesto/kraj,Nebotičnik,Mrk,https://genius.com/Matter-neboticnik-lyrics,https://www.youtube.com/watch?v=wRM8i57X8aU,1,-1.45583,-48.50444,
matter,Berlin,berlin,mesto/kraj,27 kometov,Troglav II,https://genius.com/Matter-27-kometov-lyrics,https://www.youtube.com/watch?v=s1RRnvICMi0,3,52.52,13.405,
matter,Bled,bled,mesto/kraj,Bejrut,Mrk,https://genius.com/Matter-bejrut-lyrics,https://www.youtube.com/watch?v=0tQF_qvCxPg,1,46.3683,14.1146,
matter,Bosna,bosna,država,Raveland legende,Mrk,https://genius.com/Matter-raveland-legende-lyrics,https://www.youtube.com/watch?v=Etd45xSDxT8,1,43.9159,17.6791,Bosnia and Herzegovina
matter,Černobil,cernobil,mesto/kraj,Gepek tok velk,Predjed,https://genius.com/Matter-gepek-tok-velk-lyrics,https://www.youtube.com/watch?v=XUxE_7-9Uas,1,51.2768,30.2219,
matter,Chicago,chicago,mesto/kraj,Dizeldorf,Amphibios,https://genius.com/Matter-dizeldorf-lyrics,https://www.youtube.com/watch?v=lQU0rFL6YJo,1,41.8781,-87.6298,
matter,Duplica,duplica,mesto/kraj,Aurora,Troglav I,https://genius.com/Matter-aurora-lyrics,https://www.youtube.com/watch?v=U0qHsWAZ4xU,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Bele gazele,Troglav II,https://genius.com/Matter-bele-gazele-lyrics,https://www.youtube.com/watch?v=NyAUyz10lzM,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Favela,Haos,https://genius.com/Matter-favela-lyrics,https://www.youtube.com/watch?v=hz2YObqZrFk,2,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Jiu Jitsu,Troglav II,https://genius.com/Matter-jiu-jitsu-lyrics,https://www.youtube.com/watch?v=INekeaoUR4M,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Krst pri Duplici,Haos,https://genius.com/Matter-krst-pri-duplici-lyrics,https://www.youtube.com/watch?v=KUux-vls8SM,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,MANA,Mrk,https://genius.com/Matter-mana-lyrics,https://www.youtube.com/watch?v=i2NlVQi9XUE,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Polna luna,Haos,https://genius.com/Matter-polna-luna-lyrics,https://www.youtube.com/watch?v=uR6MKmtUVDA,5,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Safari,Amphibios,https://genius.com/Matter-safari-lyrics,https://www.youtube.com/watch?v=VdQvhQg1nkY,3,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Sedimenti,Troglav I,https://genius.com/Matter-sedimenti-lyrics,https://www.youtube.com/watch?v=lzp4EXoOtSo,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Skodelica čaja,Haos,https://genius.com/Matter-skodelica-caja-lyrics,https://www.youtube.com/watch?v=MQuoCXiYpHg,1,46.2065,14.6008,
matter,Duplica,duplica,mesto/kraj,Zonzey,Unknown,https://genius.com/Matter-and-mrfy-zonzey-lyrics,https://www.youtube.com/watch?v=P5wvv2WXf1Q,1,46.2065,14.6008,
matter,El Paso,el_paso,mesto/kraj,Sinovi Moje Madre,Mrk,https://genius.com/Matter-sinovi-moje-madre-lyrics,https://www.youtube.com/watch?v=APx6fiGURxs,1,31.7619,-106.485,
matter,Evropa,evropa,celina,1000 Kristalov,Amphibios,https://genius.com/Matter-1000-kristalov-lyrics,https://www.youtube.com/watch?v=boa859Fhbh0,2,54.526,15.2551,
matter,Italija,italija,država,Laki,Troglav I,https://genius.com/Matter-laki-lyrics,https://www.youtube.com/watch?v=INekeaoUR4M,1,41.8719,12.5674,Italy
matter,Italija,italija,država,Sedimenti,Troglav I,https://genius.com/Matter-sedimenti-lyrics,https://www.youtube.com/watch?v=lzp4EXoOtSo,1,41.8719,12.5674,Italy
matter,Kamnik,kamnik,mesto/kraj,Aurora,Troglav I,https://genius.com/Matter-aurora-lyrics,https://www.youtube.com/watch?v=U0qHsWAZ4xU,1,46.2259,14.6121,
matter,Kamnik,kamnik,mesto/kraj,Bambi,Amphibios,https://genius.com/Matter-bambi-lyrics,https://www.youtube.com/watch?v=fDdKUdDANUY,1,46.2259,14.6121,
matter,Kamnik,kamnik,mesto/kraj,Bele gazele,Troglav II,https://genius.com/Matter-bele-gazele-lyrics,https://www.youtube.com/watch?v=NyAUyz10lzM,1,46.2259,14.6121,
